Feature,Correlation,P-value
CpuTier_i7,0.5567819107628671,5.849674211818234e-107
TypeName_Gaming,0.37578926987377875,5.737958737778172e-45
GpuBrand_Nvidia,0.34879742589455076,1.420516378571671e-38
TypeName_Ultrabook,0.2556584817762908,6.85793818898509e-21
TypeName_Workstation,0.2497516807538479,5.585278649383748e-20
Company_Razer,0.23375644100298973,1.2466401415171354e-17
CpuBrand_Intel,0.1811268900108647,4.5053163257070214e-11
Company_MSI,0.18009998792953819,5.8132446023199463e-11
OpSys_Windows 7,0.15238097414829366,3.247516952588049e-08
OpSys_Windows 10,0.1370475824661295,6.844724426431605e-07
OpSys_macOS,0.0899282349426207,0.001155600448613062
Company_Apple,0.08068761636635147,0.0035620627712166803
Company_LG,0.06705279565993826,0.015485854291316275
Company_Dell,0.048509013077440516,0.08005203826162612
Company_Microsoft,0.04756220614884103,0.08612895245706455
